DATAFLOW,REF_AREA,FREQ,UNIT_MEASURE,SOURCE_DETAIL,MEASURE,TRADE_TYPE,HS_SECTION,HS_CHAPTER,COUNTRY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,OBS_COMMENT,DECIMALS,section_number,description,country_name,country_code
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,4,_Z,36,2018,19128345.91,,,,0,4,PREPARED FOODSTUFFS; BEVERAGES SPIRITS AND VINEGAR; TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,Australia,36
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,4,_Z,36,2019,32705516.61,,,,0,4,PREPARED FOODSTUFFS; BEVERAGES SPIRITS AND VINEGAR; TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,Australia,36
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,4,_Z,36,2020,26278660.65,,,,0,4,PREPARED FOODSTUFFS; BEVERAGES SPIRITS AND VINEGAR; TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,Australia,36
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,4,_Z,36,2021,13998447.26,,,,0,4,PREPARED FOODSTUFFS; BEVERAGES SPIRITS AND VINEGAR; TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,Australia,36
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,4,_Z,36,2022,38004845.46,,,,0,4,PREPARED FOODSTUFFS; BEVERAGES SPIRITS AND VINEGAR; TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,Australia,36
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,4,_Z,36,2023,25332734.49,,,,0,4,PREPARED FOODSTUFFS; BEVERAGES SPIRITS AND VINEGAR; TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,Australia,36
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,4,_Z,36,2024,47148569.38,,,,0,4,PREPARED FOODSTUFFS; BEVERAGES SPIRITS AND VINEGAR; TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,Australia,36
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,5,_Z,512,2017,641426769.2,,,,0,5,MINERAL PRODUCTS,Oman,512
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,5,_Z,512,2018,325810918.34,,,,0,5,MINERAL PRODUCTS,Oman,512
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,5,_Z,512,2019,677937910.17,,,,0,5,MINERAL PRODUCTS,Oman,512
