DATAFLOW,REF_AREA,FREQ,UNIT_MEASURE,SOURCE_DETAIL,MEASURE,TRADE_TYPE,HS_SECTION,HS_CHAPTER,COUNTRY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,OBS_COMMENT,DECIMALS,section_number,description,country_name,country_code
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,20,_Z,686,2024,61775.9,,,,0,20,MISCELLANEOUS MANUFACTURED ARTICLES,Senegal,686
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,1,_Z,344,2017,433740.51,,,,0,1,LIVE ANIMALS; ANIMAL PRODUCTS,"China, Hong Kong Special Administrative Region",344
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,1,_Z,344,2018,1206476.8,,,,0,1,LIVE ANIMALS; ANIMAL PRODUCTS,"China, Hong Kong Special Administrative Region",344
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,1,_Z,344,2019,1192524.7,,,,0,1,LIVE ANIMALS; ANIMAL PRODUCTS,"China, Hong Kong Special Administrative Region",344
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,1,_Z,344,2020,1046006.22,,,,0,1,LIVE ANIMALS; ANIMAL PRODUCTS,"China, Hong Kong Special Administrative Region",344
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,1,_Z,344,2021,5044.78,,,,0,1,LIVE ANIMALS; ANIMAL PRODUCTS,"China, Hong Kong Special Administrative Region",344
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,1,_Z,344,2022,212525.74,,,,0,1,LIVE ANIMALS; ANIMAL PRODUCTS,"China, Hong Kong Special Administrative Region",344
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,1,_Z,344,2023,765762.68,,,,0,1,LIVE ANIMALS; ANIMAL PRODUCTS,"China, Hong Kong Special Administrative Region",344
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,1,_Z,344,2024,475150.02,,,,0,1,LIVE ANIMALS; ANIMAL PRODUCTS,"China, Hong Kong Special Administrative Region",344
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,3,_Z,578,2017,0.0,,,,0,3,ANIMAL VEGETABLE OR MICROBIAL FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PREPARED EDIBLE FATS; ANIMAL OR VEGETABLE WAXES,Norway,578
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,3,_Z,578,2018,0.0,,,,0,3,ANIMAL VEGETABLE OR MICROBIAL FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PREPARED EDIBLE FATS; ANIMAL OR VEGETABLE WAXES,Norway,578
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,3,_Z,578,2019,6788.9,,,,0,3,ANIMAL VEGETABLE OR MICROBIAL FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PREPARED EDIBLE FATS; ANIMAL OR VEGETABLE WAXES,Norway,578
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,3,_Z,578,2020,31211.25,,,,0,3,ANIMAL VEGETABLE OR MICROBIAL FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PREPARED EDIBLE FATS; ANIMAL OR VEGETABLE WAXES,Norway,578
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,3,_Z,578,2021,78056.3,,,,0,3,ANIMAL VEGETABLE OR MICROBIAL FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PREPARED EDIBLE FATS; ANIMAL OR VEGETABLE WAXES,Norway,578
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,3,_Z,578,2022,93130.65,,,,0,3,ANIMAL VEGETABLE OR MICROBIAL FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PREPARED EDIBLE FATS; ANIMAL OR VEGETABLE WAXES,Norway,578
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,3,_Z,578,2023,221904.67,,,,0,3,ANIMAL VEGETABLE OR MICROBIAL FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PREPARED EDIBLE FATS; ANIMAL OR VEGETABLE WAXES,Norway,578
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,3,_Z,578,2024,89611.94,,,,0,3,ANIMAL VEGETABLE OR MICROBIAL FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PREPARED EDIBLE FATS; ANIMAL OR VEGETABLE WAXES,Norway,578
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,4,_Z,112,2017,13800648.19,,,,0,4,PREPARED FOODSTUFFS; BEVERAGES SPIRITS AND VINEGAR; TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,Belarus,112
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,4,_Z,112,2018,3303182.8,,,,0,4,PREPARED FOODSTUFFS; BEVERAGES SPIRITS AND VINEGAR; TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,Belarus,112
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,4,_Z,112,2019,6399749.78,,,,0,4,PREPARED FOODSTUFFS; BEVERAGES SPIRITS AND VINEGAR; TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,Belarus,112
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,4,_Z,112,2020,3216673.76,,,,0,4,PREPARED FOODSTUFFS; BEVERAGES SPIRITS AND VINEGAR; TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,Belarus,112
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,4,_Z,112,2021,2425128.53,,,,0,4,PREPARED FOODSTUFFS; BEVERAGES SPIRITS AND VINEGAR; TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,Belarus,112
